CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,Loan_Status
1,0,0,427500,0,1,0,1,2,0
1,0,0,112500,0,0,0,0,1,0
0,1,0,270000,0,0,1,0,1,0
0,1,0,283500,0,1,1,0,2,0
1,0,0,270000,0,1,0,0,0,0
1,0,0,135000,0,0,0,0,1,0
0,0,1,130500,0,0,0,0,0,0
0,1,0,157500,0,0,0,0,1,0
0,1,0,112500,0,0,1,0,2,0
1,0,0,270000,0,0,0,0,1,0
1,1,0,405000,0,1,0,0,0,0
0,0,0,135000,0,0,0,0,1,0
0,1,0,211500,0,0,0,0,1,0
1,0,0,360000,0,0,0,0,1,0
0,1,0,126000,0,1,0,0,0,0
0,1,0,315000,0,0,1,0,2,0
0,1,0,247500,0,1,1,1,1,0
0,1,0,297000,0,0,1,1,1,0
0,1,1,157500,0,1,0,0,0,0
1,1,0,135000,0,0,0,0,1,0
1,1,0,225000,0,0,0,0,2,0
1,1,0,157500,0,0,0,0,2,0
0,1,0,112500,0,0,0,0,2,0
0,0,0,270000,0,0,1,0,1,0
0,0,0,270000,0,1,0,0,0,0
1,0,0,157500,0,0,0,0,1,0
1,1,0,166500,0,0,0,0,1,0
0,1,0,216000,0,1,0,0,2,0
0,0,0,270000,0,0,0,0,1,0
0,0,0,225000,0,0,0,0,1,0
0,1,0,315000,0,0,1,0,0,0
0,1,1,255150,0,0,0,1,2,0
0,1,0,157500,0,0,1,0,1,0
0,1,0,148500,0,1,0,0,1,0
0,1,0,202500,0,1,0,0,1,0
1,1,0,202500,0,0,1,0,1,0
0,0,0,112500,0,0,1,0,1,0
0,1,0,94500,0,1,0,0,2,0
1,0,0,315000,0,0,0,0,1,0
0,0,0,270000,0,0,0,1,0,0
0,0,0,450000,0,1,0,0,1,0
1,1,0,180000,0,0,0,1,1,0
0,1,0,112500,0,1,0,0,1,0
1,1,0,90000,0,0,0,0,1,0
1,0,1,202500,0,1,0,0,1,0
1,0,0,247500,0,0,0,0,1,0
1,0,0,765000,0,1,0,0,0,0
0,1,0,270000,0,0,0,0,0,0
0,1,0,315000,0,1,1,0,0,0
1,0,0,157500,0,0,0,1,1,0
1,1,0,360000,0,0,0,0,1,0
0,1,0,112500,0,1,0,0,0,0
0,1,1,157500,0,1,1,1,2,0
1,1,0,382500,0,0,1,0,2,0
0,1,1,135000,0,0,0,0,0,0
1,0,1,225000,0,0,0,0,2,0
1,0,1,315000,0,1,0,0,0,0
0,1,1,180000,0,0,0,0,1,0
0,1,1,157500,0,0,0,0,1,0
0,0,1,144000,0,0,0,0,2,0
1,0,1,229500,0,0,0,1,1,0
0,1,1,270000,0,1,0,0,0,0
0,1,1,292500,0,0,0,0,0,0
0,0,1,225000,0,0,0,0,0,0
1,0,1,157500,0,0,0,1,1,0
0,1,1,74250,0,1,1,1,1,0
0,1,1,135000,0,0,0,0,2,0
1,0,1,135000,0,0,0,0,1,0
0,1,1,144000,0,0,1,0,1,0
0,1,1,202500,0,1,0,1,1,0
0,1,1,40500,0,0,1,0,2,0
1,0,1,337500,0,1,0,1,0,0
1,1,1,180000,0,0,0,1,1,0
0,1,1,130500,0,0,0,0,1,0
0,1,1,144000,0,0,0,0,2,0
0,1,1,193500,0,0,1,1,1,0
0,1,1,112500,0,0,1,0,2,0
0,0,1,135000,0,0,0,0,2,0
1,0,1,267750,0,1,0,0,1,0
0,1,1,139500,0,1,1,0,0,0
1,1,1,67500,0,0,0,0,1,0
1,0,1,252000,0,0,0,0,0,0
1,1,1,180000,0,0,0,0,1,0
0,1,1,135000,0,0,0,0,1,0
0,0,1,900000,0,1,1,0,0,0
1,0,1,180000,0,1,0,0,1,0
1,0,1,115290,0,0,0,0,2,0
0,1,1,225000,0,1,0,0,1,0
0,1,1,450000,0,1,0,0,0,0
1,1,1,279000,0,1,1,0,1,0
0,1,1,76500,0,1,0,0,0,0
1,1,1,202500,0,0,0,0,1,0
0,1,1,67500,0,1,0,0,1,0
1,1,1,234000,0,0,0,0,1,0
0,1,1,90000,0,0,1,0,1,0
0,1,1,81000,0,0,0,0,1,0
1,1,1,108000,0,0,1,1,1,0
1,1,1,99000,0,0,0,0,2,0
1,1,1,198000,0,0,1,1,1,0
1,0,1,360000,0,1,0,1,1,0
0,1,1,76500,0,0,0,0,2,0
0,1,1,90000,0,0,0,0,2,0
0,0,1,270000,0,0,0,0,2,0
1,0,1,81000,0,0,0,1,1,0
0,1,1,202500,0,1,0,0,1,0
0,1,1,157500,0,0,0,0,2,0
0,1,1,180000,0,1,0,0,2,0
0,1,1,135000,0,0,0,1,1,0
1,0,1,270000,0,0,0,0,1,0
1,0,1,180000,0,0,0,0,1,0
1,0,1,112500,0,0,1,1,1,0
0,0,1,157500,0,0,0,0,2,0
1,0,1,216000,0,0,0,0,1,0
0,0,1,202500,0,0,0,0,1,0
0,1,1,198000,0,0,0,0,1,0
0,1,1,157500,0,0,1,0,2,0
0,0,1,315000,0,0,0,0,0,0
0,1,1,112500,0,0,0,0,2,0
0,1,1,45000,0,0,1,0,1,0
0,0,1,225000,0,0,0,0,2,0
0,1,1,112500,0,0,1,1,2,0
0,0,1,144000,0,0,0,0,1,0
0,0,1,315000,0,1,0,0,1,0
0,1,1,112500,0,0,0,0,1,0
0,1,1,144000,0,0,0,0,0,0
0,1,1,238500,0,0,0,0,1,0
0,1,1,238500,0,0,0,0,1,1
1,0,1,144000,0,0,0,0,1,0
1,1,1,202500,0,0,1,1,2,0
1,1,1,117000,0,0,1,0,1,0
1,1,1,225000,0,1,1,0,2,0
0,1,1,126000,0,0,1,0,2,0
0,1,1,90000,0,0,1,0,2,0
0,1,1,153000,0,0,1,0,2,0
1,0,1,1350000,0,1,0,1,0,0
0,1,1,139500,0,0,0,0,2,0
0,0,1,135000,0,0,0,1,1,0
1,1,1,180000,0,0,1,0,2,0
0,1,1,225000,0,0,1,0,2,0
0,1,1,135000,0,1,0,0,1,0
1,0,1,292500,0,0,0,0,1,0
0,0,1,270000,0,1,0,0,0,0
0,0,1,99000,0,0,0,0,1,0
0,0,1,315000,0,1,0,0,2,0
0,0,1,315000,0,1,0,0,2,1
1,0,1,270000,0,1,1,0,1,0
1,1,1,135000,0,0,1,0,1,0
1,0,1,445500,0,1,0,1,1,0
0,1,1,198000,0,0,1,0,2,0
0,0,1,382500,0,1,0,0,2,0
0,1,1,202500,0,0,0,0,1,0
1,0,1,166500,0,1,0,1,1,0
1,0,1,202500,0,0,0,0,1,0
0,1,1,81000,0,0,1,0,1,0
1,1,1,225000,0,1,0,0,0,0
0,1,1,99000,0,1,0,0,1,0
1,0,1,360000,0,0,1,1,1,0
1,0,1,225000,0,1,0,1,0,0
1,0,1,427500,0,1,0,0,0,0
0,1,0,157500,0,1,0,0,1,0
0,1,0,144000,0,0,0,1,1,0
0,1,0,157500,0,0,0,0,2,0
1,0,0,270000,0,0,1,0,0,0
0,0,1,157500,0,1,0,0,1,0
0,0,0,90000,0,1,0,0,1,0
0,1,0,99000,0,1,0,0,0,0
1,0,0,360000,0,1,0,0,1,0
0,1,0,157500,0,0,0,0,1,1
0,1,0,135000,0,0,1,0,2,0
0,0,1,99000,0,0,0,0,2,0
0,0,0,90000,0,0,0,0,1,0
1,1,0,90000,0,0,0,0,2,0
1,0,0,112500,0,0,0,0,2,0
0,0,0,135000,0,0,0,0,2,0
0,0,0,180000,0,0,0,0,2,0
1,0,0,495000,0,1,1,0,2,0
0,1,0,135000,0,0,0,0,0,0
1,0,0,360000,0,0,0,0,0,0
0,0,1,157500,0,0,0,0,0,0
1,0,0,157500,0,0,0,0,2,0
0,1,0,112500,0,0,0,0,0,0
0,0,0,112500,0,0,1,0,2,0
0,1,1,99000,0,1,1,1,2,0
0,1,0,135000,0,0,0,0,1,0
1,0,0,85500,0,0,0,0,2,0
0,1,0,292500,0,0,0,0,2,0
0,1,0,67500,0,0,0,0,1,0
0,1,0,90000,0,0,0,0,1,0
1,0,0,112500,0,0,1,0,1,0
0,1,0,112500,0,0,0,0,2,1
0,1,0,360000,0,0,1,0,1,0
0,1,0,279000,0,1,1,0,0,0
0,0,0,112500,0,0,1,1,1,0
0,1,1,225000,0,0,0,0,1,0
0,0,0,306000,0,1,0,0,1,0
0,1,0,166500,0,0,0,0,2,0
0,0,0,202500,0,1,1,0,2,0
0,1,0,67500,0,0,0,1,1,0
1,1,0,180000,0,0,1,0,2,0
1,0,0,315000,0,0,0,0,0,0
0,0,0,202500,0,0,0,0,2,0
0,0,0,157500,0,0,0,0,0,0
1,0,0,202500,0,0,0,0,2,0
1,0,0,252000,0,0,0,0,1,0
0,1,0,135000,0,0,0,0,2,0
1,0,0,225000,0,0,0,0,2,0
1,1,1,247500,0,0,1,0,1,0
0,1,0,76500,0,0,0,0,1,0
0,0,0,126000,0,0,0,0,2,0
0,1,0,135000,0,1,1,0,2,0
1,0,0,135000,0,0,0,1,1,0
0,1,0,135000,0,1,0,0,1,0
1,0,0,202500,0,1,0,0,2,0
0,0,0,90000,0,0,0,0,2,0
1,0,0,225000,0,0,0,0,1,0
0,0,0,247500,0,0,0,0,0,0
0,0,0,67500,0,0,0,0,1,0
1,1,0,562500,0,0,0,0,2,0
0,1,0,126000,0,0,0,0,2,0
0,1,0,99000,0,0,1,0,1,0
0,1,0,189000,0,0,0,0,2,0
0,0,0,112500,0,0,0,0,1,0
1,1,1,135000,0,1,0,0,1,0
0,1,1,216000,0,0,0,0,2,0
0,1,0,328500,0,0,0,0,0,0
0,1,1,126000,0,0,1,1,1,0
1,0,1,180000,0,0,0,1,1,0
0,1,0,310500,0,1,1,0,0,0
0,1,0,126000,0,0,0,0,1,0
0,1,0,67500,0,0,1,0,2,0
1,0,1,90000,0,0,1,0,1,0
0,0,0,157500,0,1,1,0,2,0
0,0,0,270000,0,0,0,0,2,0
0,0,0,540000,0,1,0,0,0,0
0,0,0,225000,0,1,0,0,0,0
0,1,0,202500,0,0,0,0,2,0
1,0,1,270000,0,0,1,0,1,0
0,1,0,67500,0,0,0,0,2,0
0,0,1,180000,0,0,0,0,1,0
0,1,0,90000,0,0,0,0,2,0
0,0,0,157500,0,0,0,0,1,0
0,1,0,171000,1,1,0,0,1,0
1,0,0,675000,0,1,0,0,0,0
1,0,0,135000,0,1,0,0,2,0
1,0,0,315000,0,1,0,0,2,0
0,1,1,90000,0,0,1,1,1,0
0,0,0,135000,0,0,1,0,1,0
1,0,0,450000,0,1,0,1,0,0
0,1,0,76500,0,0,0,0,2,0
1,0,0,90000,0,0,0,0,1,0
0,0,1,135000,0,0,0,0,1,1
0,0,1,135000,0,0,0,0,1,0
0,0,0,315000,0,0,1,0,1,0
1,0,0,135000,0,0,0,0,0,0
0,0,0,121500,0,1,0,0,1,0
0,1,1,72000,0,1,0,0,0,0
1,0,0,180000,0,0,0,0,0,0
0,1,0,247500,0,0,0,0,0,0
0,1,0,90000,0,1,0,0,1,0
0,1,0,65250,0,0,1,0,2,0
0,1,0,184500,0,0,0,0,1,0
0,1,0,103500,0,0,0,0,2,0
0,1,0,180000,0,0,1,0,2,0
0,0,0,180000,0,0,0,0,1,0
0,1,1,180000,0,0,0,1,2,0
0,0,0,67500,0,1,0,0,2,0
1,1,1,112500,0,0,0,0,1,0
1,0,1,180000,0,1,1,0,1,0
1,0,0,180000,0,0,0,0,1,0
0,1,0,225000,0,0,0,0,1,0
1,0,0,189000,0,0,0,0,1,0
1,0,0,292500,0,1,0,0,0,0
1,0,0,99000,0,0,1,0,1,0
1,1,1,202500,0,0,0,1,2,0
0,0,0,292500,0,1,0,0,1,0
1,1,0,180000,0,0,0,0,1,0
0,0,0,67500,0,0,0,0,2,0
0,1,0,162000,0,0,0,0,2,0
0,0,0,112500,0,1,1,0,1,0
1,1,0,135000,0,0,1,0,1,0
0,1,1,360000,0,0,0,0,2,0
0,1,0,135000,0,1,0,1,1,0
0,0,0,157500,0,1,0,0,1,0
0,1,0,165150,0,1,0,0,2,0
1,1,1,337500,0,1,0,0,0,0
0,1,0,99000,0,0,0,1,1,0
0,1,1,45000,0,0,0,0,2,0
0,1,0,270000,0,0,0,1,1,0
0,1,0,135000,0,1,0,0,0,0
0,0,0,270000,0,0,0,0,0,0
1,0,0,139500,0,0,0,0,1,0
0,1,0,180000,0,0,0,0,1,0
0,0,0,112500,0,1,0,0,2,0
0,1,0,54000,0,0,0,0,2,0
1,0,0,450000,0,0,0,0,1,0
1,0,0,450000,0,0,0,0,1,1
0,1,0,45000,0,0,0,0,2,0
0,1,0,360000,0,0,0,0,0,0
0,0,0,81000,0,1,0,0,2,0
1,0,0,243000,0,0,0,0,1,0
0,1,1,94500,0,0,1,1,1,0
0,1,1,94500,0,0,1,1,1,1
0,1,1,135000,0,0,1,0,2,0
1,0,0,337500,0,0,0,0,1,0
1,0,0,202500,0,0,0,0,1,0
0,1,1,256500,0,1,0,0,0,0
1,0,0,126000,0,1,0,0,1,0
0,1,0,67500,0,0,1,1,1,0
1,0,0,225000,0,0,1,0,1,0
1,0,1,270000,0,0,0,0,0,0
1,1,0,135000,0,0,0,0,2,0
0,1,0,121500,0,1,1,1,1,0
1,0,0,99000,0,0,0,1,1,0
0,1,0,292500,0,0,0,0,1,0
0,1,0,135000,0,1,0,0,2,0
0,1,0,315000,0,0,0,1,2,0
0,1,0,33300,0,0,0,0,2,0
1,0,0,697500,0,1,1,0,1,0
0,1,0,202500,0,0,0,1,1,0
0,1,0,202500,0,0,1,0,1,0
0,1,0,198000,0,0,0,0,2,0
0,1,0,675000,0,1,0,0,1,0
0,1,0,101250,0,0,1,0,2,0
0,0,0,292500,0,1,0,0,2,0
1,1,0,112500,0,0,0,0,1,0
0,1,1,54000,0,0,1,0,2,0
0,0,0,90000,0,0,0,0,1,1
0,1,1,58500,0,0,0,0,2,0
0,1,1,180000,0,0,1,0,1,0
0,1,1,225000,0,1,1,1,1,0
0,1,1,225000,0,1,1,0,1,0
0,0,0,675000,0,0,0,0,2,0
1,1,0,171000,0,1,0,0,2,0
1,0,0,225000,0,1,0,0,1,0
1,0,1,310500,0,1,1,0,1,0
0,1,0,225000,0,1,0,0,1,0
0,1,0,67500,0,1,0,0,1,0
0,1,0,157500,0,0,0,0,0,0
0,1,1,135000,0,0,1,0,1,0
0,1,1,135000,0,0,1,1,0,0
1,0,0,110250,0,1,1,0,2,0
0,0,0,180000,0,1,0,0,1,0
0,1,0,90000,0,1,1,0,1,0
1,1,1,472500,0,1,0,1,2,0
1,1,0,270000,0,0,0,0,1,0
1,0,0,270000,0,1,0,0,2,0
0,0,0,315000,0,0,0,0,1,0
0,1,1,67500,0,0,0,1,2,0
1,0,1,225000,0,0,0,0,1,0
0,1,0,247500,0,1,0,0,0,0
0,1,0,121500,0,1,0,0,2,0
0,1,0,121500,0,1,0,0,2,1
0,1,0,189000,0,0,1,0,2,0
0,1,0,270000,0,0,0,0,1,0
0,0,0,225000,0,0,0,0,2,0
0,1,0,126000,0,1,1,0,1,0
0,1,0,126000,0,1,1,0,1,1
0,1,0,121500,0,0,0,1,1,0
0,1,0,196650,0,0,0,0,1,0
0,1,0,202500,0,1,0,0,2,0
0,1,0,81000,0,0,0,0,1,0
0,0,1,225000,0,1,0,0,1,0
0,0,0,166500,0,1,0,0,1,0
0,1,0,157500,0,0,0,1,1,0
1,0,0,292500,0,0,0,0,1,0
0,1,0,144000,0,0,0,0,0,0
0,1,0,112500,0,1,1,0,2,0
1,1,0,67500,0,0,0,0,2,0
0,0,1,306000,0,1,0,0,2,0
0,1,0,202500,0,0,0,0,1,0
1,0,0,202500,0,0,1,0,1,0
1,1,1,270000,0,0,0,0,2,0
0,1,1,40500,0,0,0,1,1,0
0,0,0,247500,0,0,1,0,0,0
1,0,0,306000,0,0,0,0,0,0
0,0,0,360000,0,1,0,0,2,0
0,1,0,225000,0,1,0,0,2,0
1,0,0,189000,0,0,0,1,1,0
0,1,0,99000,0,0,0,0,1,0
0,0,0,126000,0,1,0,0,0,0
0,0,0,225000,0,0,1,0,2,1
0,0,0,225000,0,0,1,0,2,0
1,1,0,157500,0,1,0,0,2,0
0,0,0,144000,0,0,0,0,2,0
0,1,0,292500,0,1,0,0,0,0
1,1,0,225000,0,0,0,0,1,0
1,0,0,225000,0,0,0,0,0,0
0,1,0,180000,0,0,1,0,1,0
0,1,0,243000,0,1,0,0,1,0
0,0,0,630000,0,0,0,0,2,0
0,1,0,135000,0,1,1,0,1,0
0,1,0,112500,0,0,0,0,1,0
0,1,0,171000,0,0,0,0,0,0
0,0,0,432000,0,0,0,0,0,0
0,1,1,112500,0,0,0,1,2,0
0,1,0,67500,0,1,0,0,0,0
0,1,0,292500,0,1,0,0,1,0
0,1,0,225000,0,0,0,0,1,1
1,1,0,157500,0,0,1,0,1,0
0,1,0,162000,0,1,0,0,2,0
1,1,0,270000,0,1,0,0,0,0
0,1,0,166500,0,0,0,0,1,0
0,1,0,135000,0,0,0,1,2,0
0,1,0,180000,0,1,0,0,1,0
0,0,0,315000,0,1,1,0,2,0
1,0,1,171000,0,0,1,1,1,0
1,0,1,112500,0,0,0,0,1,0
0,0,0,135000,0,1,0,0,0,0
0,1,0,328500,0,0,0,0,2,0
1,0,0,148500,0,0,0,0,2,0
0,0,1,76500,0,0,0,1,2,0
0,0,0,135000,0,1,1,0,1,0
0,1,0,67500,0,1,0,0,2,0
0,0,0,445500,0,1,0,0,0,0
0,1,0,67500,0,0,1,1,0,0
0,0,0,76500,0,1,0,0,2,0
0,0,0,76500,0,1,0,0,2,1
0,1,1,103500,0,0,0,0,1,0
0,1,1,180000,0,0,1,1,2,0
1,1,0,315000,0,0,0,0,2,0
1,0,0,135000,0,1,0,0,1,0
0,1,0,257625,0,0,0,0,1,0
1,0,0,112500,0,0,1,0,2,0
1,1,0,143100,0,0,0,0,2,0
0,0,1,225000,0,0,1,0,1,0
1,1,0,202500,0,1,1,0,2,0
0,1,0,58500,0,0,0,0,1,0
0,1,0,180000,0,1,0,0,2,0
0,1,0,216000,0,1,0,1,1,0
0,0,0,202500,0,0,0,0,0,0
0,1,0,76500,0,0,1,0,2,0
0,1,0,112500,0,0,1,0,0,0
1,1,0,315000,0,0,0,0,1,0
1,0,1,207000,0,0,0,0,1,0
0,1,0,207000,0,0,1,0,1,0
0,0,0,180000,0,1,0,0,2,0
0,1,0,288000,0,0,1,0,2,0
1,1,1,45000,0,0,0,0,1,0
0,1,1,135000,0,0,1,1,1,0
0,1,1,135000,0,0,1,0,0,0
0,0,0,94500,0,0,0,0,0,0
1,1,0,202500,0,0,0,0,1,0
0,1,0,315000,0,1,1,1,2,0
0,0,0,180000,0,0,1,0,1,0
0,1,0,202500,0,0,0,0,0,0
1,0,0,131400,0,0,0,0,2,0
0,1,1,166500,0,0,1,1,1,0
0,0,0,202500,0,0,0,0,1,0
1,0,1,225000,0,1,1,0,0,0
1,0,0,157500,0,0,1,0,1,0
0,1,0,90000,0,0,1,0,2,0
0,0,0,189000,0,0,0,0,1,0
1,0,1,270000,0,1,0,0,0,0
1,0,0,256500,0,1,0,0,1,0
1,1,0,135000,0,0,1,0,2,0
0,0,0,202500,0,1,0,0,1,0
0,1,0,234000,0,0,1,0,1,0
0,1,0,54000,0,0,1,0,2,0
0,0,0,117000,0,0,0,1,1,0
0,1,0,225000,0,1,1,0,1,0
0,1,0,153000,0,1,0,0,2,0
0,0,0,157500,0,1,0,1,0,0
0,1,1,315000,0,0,1,0,1,0
1,0,0,144000,0,0,0,0,1,0
1,0,0,405000,0,0,0,0,2,0
1,1,0,112500,0,0,1,0,2,0
1,0,1,405000,0,0,0,0,2,0
0,1,0,720000,0,1,0,0,0,0
0,1,0,225000,0,0,1,0,2,0
0,1,0,121500,0,0,0,0,2,0
1,1,0,225000,0,0,0,1,1,0
0,1,0,202500,0,1,0,0,0,0
0,1,0,247500,0,1,1,0,1,0
0,1,0,144000,0,1,0,0,0,0
1,1,0,337500,0,1,0,0,0,0
1,0,0,202500,0,0,0,0,1,1
1,0,1,247500,0,1,0,1,1,0
0,1,0,157500,0,0,1,1,2,0
1,0,0,135000,0,1,0,0,0,0
1,1,0,112500,0,0,1,0,1,0
0,1,0,202500,0,0,1,0,2,0
0,1,0,247500,0,0,1,0,1,0
0,1,1,157500,0,0,1,1,1,0
1,0,0,157500,0,0,1,1,1,0
0,1,0,315000,0,1,0,0,0,0
0,1,0,112500,0,0,1,0,1,0
1,0,0,315000,0,0,1,0,1,0
1,1,0,157500,0,0,0,0,1,0
1,0,1,360000,0,0,0,0,0,0
0,1,1,202500,0,0,1,0,1,0
0,1,0,90000,0,0,0,1,2,0
0,0,0,225000,0,1,0,0,2,0
1,0,0,216000,0,1,1,0,0,0
0,1,1,112500,0,0,1,0,1,0
0,0,0,202500,0,1,1,0,0,0
1,1,0,135000,0,0,1,1,1,0
0,1,0,261000,0,0,1,0,1,0
1,1,0,180000,0,0,1,0,1,0
0,1,1,202500,0,1,1,1,0,0
0,0,0,180000,0,1,1,0,1,0
0,1,0,67500,0,0,1,0,0,0
0,0,0,225000,0,1,0,0,1,0
1,0,0,315000,0,0,1,0,0,0
0,1,0,126000,0,1,0,0,1,0
1,1,1,189000,0,0,0,0,1,0
0,1,0,225000,0,1,1,0,0,0
0,1,0,270000,0,1,0,0,1,0
1,0,0,315000,0,1,0,0,1,0
1,1,1,135000,0,0,0,0,1,0
0,0,1,202500,0,0,1,0,0,0
0,1,1,99000,0,0,1,0,1,0
0,0,0,135000,0,0,0,0,0,0
0,1,0,315000,0,0,0,0,1,0
0,0,0,225000,0,0,0,0,0,0
0,1,0,76500,0,1,0,0,2,0
